"t","QL","QB","QC","QLim","QBim","QCim","QLm","QBm","QCm","QLnetchange","QBnetchange","QCnetchange","RL","RB","RC","Ex","AcRL","AcRB","AcRC","AcEx","Total13C_theoretical"
0,5.49541623297926,1.31876616331682,0,0,0,0,5.49541623297926,1.31876616331682,0,0,0,0,0,0,0,0,0,0,0,0,6.81418239629609
1,3.00009556663417,0.994837786333112,0.106599023687267,0.00609817191618161,0.00332111504556536,0.00238026805893337,2.99399739471799,0.991516671287547,0.104218755628334,-2.49532066634509,-0.32392837698371,0.0814359678974056,0.002362631,9.84e-05,6.29e-07,2.73179307196532,0.002362631,9.84e-05,6.29e-07,2.73179307196532,6.83578710861987
2,1.76569312688531,0.775018536352782,0.0657557460122937,0.0121296093760012,0.00660675139853476,0.00474075387922848,1.75356351750931,0.768411784954247,0.0610149921330652,-1.23440243974886,-0.21981924998033,0.139716325921225,0.00098852,5.7e-05,0.000181996,1.45818448517162,0.003351151,0.000155375,0.000182625,4.18997755713694,6.80013411738733
3,1.15505041318159,0.625848207060066,0.0576543311095215,0.0180950426782642,0.00985728806945468,0.00708162186966443,1.13695537050332,0.615990918990612,0.050572709239857,-0.610642713703723,-0.149170329292716,0.181425170539657,0.000470775,3.79e-05,5.99e-05,0.778353973665181,0.003821926,0.000193324,0.000242557,4.96833153080212,6.81114228915329
4,0.852973463402301,0.52462055232424,0.0496679107886999,0.0239951941298574,0.0130731000199909,0.00940303507263068,0.828978269272443,0.511547452304249,0.0402648757160692,-0.302076949779287,-0.101227654735826,0.211274467599458,0.000325787,3.56e-05,0.000311911,0.415472057535351,0.004147712,0.000228895,0.000554468,5.38380358833747,6.81599658985271
5,0.703539954182978,0.455927011645597,0.0454313574747623,0.0298307781332075,0.0162545582061817,0.011705155175483,0.67370917604977,0.439672453439415,0.0337262022992794,-0.149433509219323,-0.0686935406786426,0.232636376401182,0.000162718,2.39e-05,0.00057905,0.221771888411931,0.00431043,0.000252807,0.001133517,5.6055754767494,6.81617055405274
6,0.629617155062034,0.409311266735938,0.0431222845672564,0.0356025012727821,0.0194020296212291,0.0139881425218049,0.594014653789252,0.389909237114709,0.0291341420454515,-0.0739227991209435,-0.046615744909659,0.247924212049002,5.88e-05,1.19e-05,0.00080702,0.118378046363826,0.004369245,0.00026472,0.001940537,5.72395352311323,6.81257873147846
7,0.593048514879362,0.377677613090858,0.0422177585832984,0.0413110624006447,0.0225158773378327,0.016252156122576,0.551737452478718,0.355161735753025,0.0259656024607224,-0.0365686401826717,-0.0316336536450802,0.25886508446654,2.49e-05,6.97e-06,0.000532472,0.0631881793552074,0.004394108,0.000271689,0.002473009,5.78714170246844,6.80722439502196
8,0.574958487706259,0.356210873797595,0.0422441958379762,0.0469571527210728,0.0255964605500719,0.0184973536672467,0.528001334985187,0.330614413247523,0.0237468421707295,-0.018090027173103,-0.0214667392932628,0.266695014877514,1.29e-05,4.94e-06,0.0004362,0.0337287709408089,0.004407008,0.000276633,0.002909209,5.82087047340925,6.80187688075108
9,0.566009588280716,0.341643448199048,0.0429000239160956,0.0525414558742509,0.0286441346148399,0.0207238915347219,0.513468132406465,0.312999313584208,0.0221761323813738,-0.00894889942554311,-0.0145674255985472,0.272298572610481,5.17e-06,2.75e-06,0.000219148,0.0180038418702075,0.004412177,0.00027938,0.003128356,5.83887431527945,6.79724728867531
10,0.5615826849841,0.331757927828667,0.0439773474481064,0.0580646480190465,0.0316592510928358,0.0229319248042521,0.503518036965054,0.300098676735831,0.0210454226438543,-0.00442690329661621,-0.00988552037038093,0.276308807391456,2.67e-06,1.95e-06,3.23e-05,0.00961014330039855,0.004414844,0.000281328,0.00316066,5.84848445857985,6.79365925084072
11,0.559392753924907,0.325049569352276,0.0453356759762892,0.0635273979148807,0.0346421577891179,0.0251216072662357,0.495865356010026,0.290407411563158,0.0202140687100535,-0.00218993105919307,-0.0067083584763914,0.279178766757435,1.68e-06,1.66e-06,3.78e-05,0.00512973036088482,0.004416521,0.000282989,0.003198503,5.85361418894074,6.79129020119421
12,0.558309423722577,0.320497247192017,0.0468796217528724,0.0689303670027038,0.037593198793225,0.0272930914329296,0.489379056719873,0.282904048398792,0.0195865303199427,-0.00108333020232998,-0.00455232216025864,0.281232678114807,8.6e-07,1.17e-06,0.000160481,0.00273816245531933,0.004417381,0.000284163,0.003358984,5.85635235139606,6.79009917206352
13,0.557773514465364,0.317408020949306,0.0485445098140296,0.0742742094850831,0.040512714518868,0.0294465285490725,0.483499304980281,0.276895306430438,0.0190979812649571,-0.000535909257213141,-0.00308922624271107,0.282702577624169,4.59e-07,8.57e-07,0.00045516,0.00146158435322263,0.00441784,0.00028502,0.003814143,5.85781393574928,6.79005698397798
14,0.557508407177347,0.315311658160669,0.0502864890377929,0.0795595724054152,0.0434010417431981,0.0315820686024185,0.477948834771932,0.271910616417471,0.0187044204353744,-0.000265107288017097,-0.00209636278863734,0.283754523980018,1.9e-07,4.88e-07,0.000237508,0.000780168765163403,0.004418031,0.000285508,0.004051651,5.85859410451444,6.79045584889025
15,0.557377262075422,0.313889056966615,0.0520758420791253,0.084787095726272,0.046258513645655,0.0336998603341844,0.47259016634915,0.26763054332096,0.018375981744941,-0.000131145101925245,-0.00142260119405369,0.284507358529955,1e-07,3.55e-07,0.000127197,0.000416440762242232,0.004418131,0.000285863,0.004178848,5.85901054527668,6.79123554839785
16,0.557312386311773,0.31292367341359,0.0538924420342626,0.0899574124068876,0.049085459846401,0.0358000512494092,0.467354973904886,0.263838213567189,0.0180923907848534,-6.48757636485531e-05,-0.000965383553024557,0.285046131117005,5.04e-08,2.44e-07,0.000494596,0.000222288966440054,0.004418181,0.000286107,0.004673444,5.85923283424312,6.79273906800275
17,0.557280293121504,0.312268559803152,0.0557226698859357,0.0950711484797992,0.0518822064443433,0.037882787627228,0.462209144641704,0.260386353358809,0.0178398822587077,-3.20931902695332e-05,-0.00065511361043824,0.285431708400328,2.47e-08,1.63e-07,0.000814753,0.000118654053784084,0.004418206,0.00028627,0.005488197,5.85935148829691,6.7948156841075
18,0.557264417040765,0.311823996767831,0.0575573225753037,0.100128923126648,0.054649076054751,0.0399482145310605,0.457135493914117,0.25717492071308,0.0176091080442432,-1.58760807387193e-05,-0.000444563035320922,0.285707650133424,1.05e-08,9.52e-08,0.001154098,6.33355074013409e-05,0.004418217,0.000286365,0.006642295,5.85941482380431,6.79740743718821
19,0.557256563351633,0.311522314297456,0.0593901934283752,0.105131348753152,0.0573863878464701,0.0419964758187145,0.452125214598481,0.254135926450985,0.0173937176096607,-7.85368913180928e-06,-0.000301682470375653,0.285905130232375,5.47e-09,6.84e-08,0.001220055,3.38074121364329e-05,0.004418222,0.000286433,0.007862349,5.85944863121645,6.80018470629391
20,0.557252678234519,0.31131759121951,0.0612171088267519,0.110079031063254,0.0600944575787408,0.0440277141524059,0.447173647171265,0.251223133640769,0.017189394674346,-3.88511711391093e-06,-0.000204723077946056,0.286046458581096,2.84e-09,4.86e-08,0.001892727,1.80458191971766e-05,0.004418225,0.000286482,0.009755076,5.85946667703564,6.80371383831642
21,0.557250756317986,0.311178665220291,0.0630352744908657,0.114972569132466,0.0627735976376212,0.0460420710086951,0.44227818718552,0.24840506758267,0.0169932034821706,-1.92191653303198e-06,-0.000138925999218775,0.286147601441862,1.24e-09,2.93e-08,0.002448917,9.63255008112895e-06,0.004418226,0.000286511,0.012203993,5.85947630958572,6.80784973561487
22,0.557249805571058,0.311084389413906,0.0648428318671141,0.119812555480405,0.0654241170720228,0.0480396866883406,0.437437250090653,0.245660272341883,0.0168031451787735,-9.50746927741442e-07,-9.42758063847138e-05,0.286219985209,5.71e-10,1.82e-08,0.002397205,5.14169071674786e-06,0.004418227,0.000286529,0.014601198,5.85948145127644,6.81196443212852
23,0.55724933524901,0.311020413428709,0.0666385570925123,0.124599576142533,0.0680463216293596,0.0500207003260716,0.432649759106476,0.242974091799349,0.0166178567664407,-4.70322048529148e-07,-6.39759851969179e-05,0.286271787280896,4.52483e-10,1.27746e-08,0.002652589,2.74454668947044e-06,0.004418227,0.000286542,0.017253787,5.85948419582313,6.81635105759336
24,0.557249102586855,0.310976999038115,0.0684216567130546,0.129334210741121,0.0706405137908183,0.0519852499002782,0.427914891845733,0.240336485247297,0.0164364068127764,-2.32662155097429e-07,-4.34143905937434e-05,0.286308859883757,1.41e-10,8.57e-09,0.002552443,1.46499214892515e-06,0.004418227,0.000286551,0.01980623,5.85948566081528,6.82064442715331
25,0.557248987491935,0.310947537837873,0.0701916290595637,0.134017032555427,0.0732069928062497,0.0539334722426222,0.423231954936508,0.237740545031623,0.0162581568169415,-1.15094919816983e-07,-2.94612002428307e-05,0.286335391214119,7.07e-11,5.9e-09,0.002605545,7.81987787412675e-07,0.004418228,0.000286557,0.022411775,5.85948644280307,6.82499115719244
26,0.557248930555986,0.310927545335205,0.071948170178987,0.13864860859111,0.0757460547286887,0.0558655030475668,0.418600321964876,0.235181490606516,0.0160826671314202,-5.69359488444832e-08,-1.99925026674319e-05,0.286354378591224,3.47e-11,3.93e-09,0.002548668,4.17411725628369e-07,0.004418228,0.000286561,0.024960443,5.85948686021479,6.82927673828497
27,0.557248902390518,0.310913978333195,0.0736911100012029,0.143229499648887,0.0782579924485054,0.0577814768818284,0.414019402741631,0.23265598588469,0.0159096331193745,-2.81654678468968e-08,-1.35670020097733e-05,0.28636796707263,1.54e-11,2.41e-09,0.00221349,2.22807249983248e-07,0.004418228,0.000286563,0.027173933,5.85948708302204,6.83321979774696
28,0.55724888845743,0.310904771704761,0.0754203690237625,0.147760260392433,0.0807430957271904,0.059681527193749,0.409488628064998,0.23016167597757,0.0157388418300135,-1.3933088016671e-08,-9.20662843456599e-06,0.286377691787419,7.95e-12,1.7e-09,0.002017642,1.18930705284015e-07,0.004418228,0.000286565,0.029191575,5.85948720195275,6.8369575991387
29,0.557248881564914,0.310898524045398,0.0771359289201776,0.152241439415541,0.0832016512307807,0.0615657863225909,0.405007442149373,0.227696872814617,0.0155701425975867,-6.89251600238805e-09,-6.24765936274585e-06,0.286384651364056,3.28e-12,9.7e-10,0.001748829,6.34831787138523e-08,0.004418228,0.000286566,0.030940404,5.85948726543593,6.84041579796641
30,0.557248878155277,0.310894284355723,0.0788378125967727,0.156673579308549,0.0856339425629269,0.0634343855077541,0.400575298846727,0.225260341792796,0.0154034270890186,-3.40963746126022e-09,-4.23968967472321e-06,0.286389632045548,1.59e-12,6.44e-10,0.001431843,3.38862369275716e-08,0.004418228,0.000286566,0.032372247,5.85948729932216,6.84354531542993
